id,name,stock,price,color
mk1,Busy Tank,15,1610000,xanh
mk2,Brunch Top,0,2369000,xanh
mk3,Bombshell Tank,12,1978000,xanh
mk4,Backyard Tee,11,2000000,xanh
mk5,Bloom Top,0,1978000,xanh
mk6,Aviation Tee,10,2116000,xanh
mk7,Atomic Sweatshirt,5,2737000,xanh
mk8,All-Purpose Cami,5,1978000,xanh
mk9,Áo thun cổ tim,10,180000,xanh
mk10,Váy hoa nhí,10,200000,xanh
mk11,T-shirt,20,250000,xanh
mk1,Busy Tank,0,1610000,vàng
mk2,Brunch Top,13,2369000,vàng
mk3,Bombshell Tank,12,1978000,vàng
mk4,Backyard Tee,11,2000000,vàng
mk5,Bloom Top,0,1978000,vàng
mk6,Aviation Tee,0,2116000,vàng
mk7,Atomic Sweatshirt,0,2737000,vàng
mk8,All-Purpose Cami,5,1978000,vàng
mk9,Áo thun cổ tim,10,180000,vàng
mk10,Váy hoa nhí,10,200000,vàng
mk11,T-shirt,20,250000,vàng
mk1,Busy Tank,15,1610000,đỏ
mk2,Brunch Top,13,2369000,đỏ
mk3,Bombshell Tank,12,1978000,đỏ
mk4,Backyard Tee,0,2000000,đỏ
mk5,Bloom Top,15,1978000,đỏ
mk6,Aviation Tee,10,2116000,đỏ
mk7,Atomic Sweatshirt,5,2737000,đỏ
mk8,All-Purpose Cami,5,1978000,đỏ
mk9,Áo thun cổ tim,0,180000,đỏ
mk10,Váy hoa nhí,10,200000,đỏ
mk11,T-shirt,0,250000,đỏ
mk1,Busy Tank,15,1610000,tím
mk2,Brunch Top,13,2369000,tím
mk3,Bombshell Tank,12,1978000,tím
mk4,Backyard Tee,11,2000000,tím
mk5,Bloom Top,0,1978000,tím
mk6,Aviation Tee,10,2116000,tím
mk7,Atomic Sweatshirt,5,2737000,tím
mk8,All-Purpose Cami,5,1978000,tím
mk9,Áo thun cổ tim,10,180000,tím
mk10,Váy hoa nhí,10,200000,tím
mk11,T-shirt,20,250000,tím
